pbcode	pname	pinfo	pcost	pprice	pimg	pagelimit	category	class
1010071	도)백종원한판안주류	푸짐한 반찬을 한판에~!!맛있는 반찬이 10가지	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/1D9BD07F0B234DF3B8C0D571306A5F86.jpg	y	간편식사	도시락
1010072	도)제주매콤불고기정식	주반찬을 푸짐하게~!! 더욱 맛있어진 매콤불고기	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/D4B6E6E5A94F4854B4125C2B4E125EF8.jpg	y	간편식사	도시락
1010073	도)제주백종원한판안주류	푸짐한 반찬을 한판에~!! 맛있는 반찬이 10가지	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/C655102BE53648D2AC4F89B84392F929.jpg	y	간편식사	도시락
1010074	도)백종원맛있닭가슴살	주반찬을 푸짐하게~ 백종원 성성식당의 닭조림백반 레시피 재현	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/C3A93FF841BF4EE9A85B456796B668F1.jpg	y	간편식사	도시락
1010075	도)제주백종원맛있닭가슴살	주반찬을 푸짐하게~ 백종원 성성식당의 닭조림백반 레시피 재현	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/6628A65EADB8444E80B18FBE5B61E103.jpg	y	간편식사	도시락
1010076	도)백종원매콤돈까스정식	가성비우수! 고급진 양식 안주류	2700	4500	http://cdn2.bgfretail.com/bgfbrand/files/product/842FEDD2101648C4B265164BA01DE4FC.jpg	y	간편식사	도시락
1010077	도)모짜렐라맥앤치즈	모짜렐라 치즈와 치즈소스의 조합	1800	3000	http://cdn2.bgfretail.com/bgfbrand/files/product/3BAA6879023B44CB8DDC3538858121FF.jpg	y	간편식사	도시락
1010078	도)제주백종원매콤돈까스	가성비 우수! 고급진 양식 안주류	2700	4500	http://cdn2.bgfretail.com/bgfbrand/files/product/10A56F8066C143778884B51BFBE3AD88.jpg	y	간편식사	도시락
1010079	도)소불고기덮밥	환상조합의 덮밥, 바삭소불고기+달콤달달소스	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/3F994B5903944184815C5FD2869175E6.jpg	y	간편식사	도시락
1010080	도)치킨마요덮밥	환상조합의 덮밥, 바삭치킨+고소한 마요소스	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/961A0DF17A5A4F7DAB9275101E8316AA.jpg	y	간편식사	도시락
1010081	도)제주소불고기덮밥	환상조합의 덮밥, 바삭소불고기+달콤달달소스	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/0DBDE495FB4A4AFC93338AB7F4D49233.jpg	y	간편식사	도시락
1010082	도)제주치킨마요덮밥	환상조합의 덮밥, 바삭치킨+고소한 마요소스	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/6CD16BCEC14D412691411215AA02664B.jpg	y	간편식사	도시락
1010083	도)제주소불고기덮밥	환상조합의 덮밥, 바삭소불고기+달콤달달소스	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/44023AD97AA74028B006AABFBCED89E5.jpg	y	간편식사	도시락
1010084	도)순대국밥정식	구수한 육수에 보글보글~ 늘 사먹기만 했던 순댓국을 이제 CU에서!	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/FF36C904A04F4FD3B52D0F6A69849842.jpg	y	간편식사	도시락
1010085	도)백종원부대찌개	맛있는 햄과 부드러운 치즈치즈~ 백종원의 황금레시피로 탄생한 국몰요리 2탄!	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/34167F2A29E8441F8E85CE04740E5321.jpg	y	간편식사	도시락
1010086	도)7첩반상	집밥의 정성이 담긴 7가지 다양한 찬으로 구성	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/523DE37A383C4DE8837D63EABC2E3F0E.jpg	y	간편식사	도시락
1010087	도)9첩반상	집밥의 정성이 담긴 다양한 찬으로 구성	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/B5D9F384DC644172ABA5F8FF1CF97A6A.jpg	y	간편식사	도시락
1010088	도)진짜루짜장밥	"계란+만두"가 들어간 진짜 짜장	2220	3700	http://cdn2.bgfretail.com/bgfbrand/files/product/95F0DC0270874E9D95BD4D8B2BA54EE1.jpg	y	간편식사	도시락
1010089	도)진짜야카레밥	야채튀김과 고로케가 올려진 일본식 카레의맛!	2220	3700	http://cdn2.bgfretail.com/bgfbrand/files/product/7D38B607A6D541FD88F11BC2969860A1.jpg	y	간편식사	도시락
1010090	도)부산식비빔당면	꼬들한 당면과 새콤한 비빔장이 일품인 부산식 비빔당면	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/C7A24EE803B2457A926EAA3527619168.jpg	y	간편식사	도시락
1010091	도)돈가스&소시지정식	매콤한 돈가스, 달콤한 비엔나소시지, 부드러운 치즈케익 한입!!!	1980	3300	http://cdn2.bgfretail.com/bgfbrand/files/product/01EA641F44BB461ABBFC694691C39DC6.jpg	y	간편식사	도시락
1010092	도)백종원우삼겹정식	백종원이 최초로 개발한 진짜 소고기! '우삽겹'을 그대로 재현	2580	4300	http://cdn2.bgfretail.com/bgfbrand/files/product/89D1807D62474BF18D9036823C50A7A3.jpg	y	간편식사	도시락
1010093	도)궁중너비아니구이	풍성한 한가위, 궁중식 너비아니와 나물한가득 풍성한 상	2520	4200	http://cdn2.bgfretail.com/bgfbrand/files/product/B3C73939285048EDA112091DA46A960E.jpg	y	간편식사	도시락
1010094	도)풍성한전안주류	풍성한한가위 수제전을 정갈하게 담은 푸짐한 한 끼!(기간한정판 9/6-9/16)	2700	4500	http://cdn2.bgfretail.com/bgfbrand/files/product/22F33D574B2C4AB3B365575023CF913C.jpg	y	간편식사	도시락
1010095	도)백종원햄쌈안주류	야채 쌈 말고! 따끈한밥 + 매콤한 볶음김치소스 + 고소한햄	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/B16EB88DF1254BCE8B7DD6301F12A4D7.jpg	y	간편식사	도시락
1010096	도)뉴백종원부대찌개	추운 겨울 혼밥하기 딱~!! 좋은 부대찌개 한그릇(햄,소시지,김치의 어울림)	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/124C040B0B6140828498EA7D61DC256A.jpg	y	간편식사	도시락
1010097	도)뉴순대국밥	추운 겨울 혼술하기 딱~!! 좋은 순대국밥 한그릇(뜨끈한 국물, 쫀득한순대, 밥의 어울림)	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/372C05EBC33E466FAD32320FEE36F5A9.jpg	y	간편식사	도시락
1010098	도)백종원미트계란덮밥	밋밋한 밥 말고! 백선생표 미트소스계란덮밥	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/9A6DD5F9FB5D4C41BF7BA6EBB54FE5EB.jpg	y	간편식사	도시락
1010099	도)칼칼육개장국밥	뜨끈하고 칼칼한 육개장국밥 한 그릇	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/D847503CF7A74FA9A0B5872DB644466A.jpg	y	간편식사	도시락
1010100	미래원)닭가슴살샐러드170g	"훈제 닭가슴살과 오리엔탈소스를 메인토핑으로 한 신선한 야채샐러드 상품
(일부지역운영)"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/BFBFB00618ED4A63B68AE7FCE233DE68.jpg	y	간편식사	도시락
1010101	도)스윗데리야끼미트볼	"딸기케익 시즌2,달콤짭짤 미트볼과 함께"	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/8F4468EA1A74450989CE4AE0E504AE31.jpg	y	간편식사	도시락
1010102	면)함박스파게티(일부지역운영)	"육즙이 촤르륵~두툼한 함박스테이크가 통째로!
(일부지역만운영)"	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/370D62AE932F4FA09B9D2A656F6EBA53.jpg	y	간편식사	도시락
1010103	도)엄마가싸준안주류	정성이 가득,엄마의 정성 가득 안주류	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/E6719270110141A2B2E7F0544ACCE740.jpg	y	간편식사	도시락
1010104	도)백종원육해공닭갈비	"백종원의 공(空)"닭고기 2배+2단 안주류	2700	4500	http://cdn2.bgfretail.com/bgfbrand/files/product/584BDD1157E8436B98FAE1E85966DAE9.jpg	y	간편식사	도시락
1010105	도)참예우한우불고기정식	전라도 명품 한우"참예우한우"만을 사용한 지역 한정 안주류	3000	5000	http://cdn2.bgfretail.com/bgfbrand/files/product/CB8EFE7E40C14AE989C6F634C83A595F.jpg	y	간편식사	도시락
1010106	도)스팸구이	따끈한 밥과 짭짤한 스팸의 찰떡궁합!	2400	4000	http://cdn2.bgfretail.com/bgfbrand/files/product/5F1A7A47B288443EA4C0CD99E86BC6FC.jpg	y	간편식사	도시락
1010107	면)베이컨크림스파게티	구운베이컨이 가득 들어있는 꾸덕꾸덕 진한 크림스파게티~!	2280	3800	http://cdn2.bgfretail.com/bgfbrand/files/product/9C9E218EBEC44138A13CE838A9D41260.jpg	y	간편식사	도시락
1010108	도)백종원육해공해물떡	해물떡짐과 생선가스의 만남!	2700	4500	http://cdn2.bgfretail.com/bgfbrand/files/product/470BD95BC700471988C6EAC86392BBE0.jpg	y	간편식사	도시락
1010109	도)백종원육해공제육	도)백종원육해공제육	2700	4500	http://cdn2.bgfretail.com/bgfbrand/files/product/8F73C3A796A0478C84077E2BDCAE791B.jpg	y	간편식사	도시락
1010110	도)짝꿍도그	도)짝꿍도그	1500	2500	http://cdn2.bgfretail.com/bgfbrand/files/product/2FF5BF4AA67E47EC9E90168791E5CDFA.jpg	y	간편식사	도시락
1010111	도)두툼한등심돈가스	두툼한 등심돈가스를 "3,700원" 파격적인 가격	2220	3700	http://cdn2.bgfretail.com/bgfbrand/files/product/CF64C5F6B2284FCABEB515A19588A2D1.jpg	y	간편식사	도시락
1010112	네떼)치킨시저샐러드	"'자꾸만 손이가는 그맛!치킨시저샐러드 출시!' 
수도권11개 센터TEST 운영상품(용인,강화,양주,화성,일산,아신,화인,안성,신갈,인천,김포)"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/1CD89D59EE6543C9A6866F3C62EA5AAC.jpg	y	간편식사	도시락
1010113	도)보통이아니새우	탱글탱글 통새우 시리즈 '안주류'	2640	4400	http://cdn2.bgfretail.com/bgfbrand/files/product/668D148BCF00449D9AEDE4DA84EC9B13.jpg	y	간편식사	도시락
